NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 287; King County; Washington,1736,1577,159,131786,11,0,11,20,159,3701,32,0,5257,2909,53,033,028700
Census Tract 288.01; King County; Washington,1096,480,616,69196,92,0,93,210,616,2901,26,0,3516,1806,53,033,028801
Census Tract 288.02; King County; Washington,2689,864,1825,61340,229,159,517,494,1825,4658,211,0,7438,2075,53,033,028802
Census Tract 289.01; King County; Washington,1655,833,822,82695,107,40,57,337,822,2735,32,0,3778,2086,53,033,028901
Census Tract 289.02; King County; Washington,2581,766,1815,58299,91,155,329,666,1815,4443,140,0,7158,1873,53,033,028902
Census Tract 290.01; King County; Washington,1778,1235,543,102273,39,49,8,172,543,3149,33,0,3982,2726,53,033,029001
Census Tract 290.03; King County; Washington,2045,1137,908,92292,83,275,173,124,908,4058,94,0,5850,1861,53,033,029003
Census Tract 290.04; King County; Washington,1311,583,728,53860,59,57,45,280,728,2507,173,0,4371,1017,53,033,029004
Census Tract 291.01; King County; Washington,1463,1002,461,89750,23,50,72,151,461,2570,32,0,4397,1103,53,033,029101
Census Tract 291.02; King County; Washington,1521,1011,510,82313,8,8,0,213,510,3281,219,0,4989,1430,53,033,029102
Census Tract 292.03; King County; Washington,1473,475,998,78433,61,111,119,220,998,3082,52,0,4331,1861,53,033,029203
Census Tract 292.05; King County; Washington,2072,1296,776,90833,148,35,79,236,776,3267,89,0,4824,1588,53,033,029205
Census Tract 292.06; King County; Washington,2061,232,1829,47487,251,105,116,856,1829,3087,93,0,4688,1120,53,033,029206
Census Tract 292.07; King County; Washington,878,814,64,114674,7,0,20,20,64,1871,76,0,2495,1067,53,033,029207
Census Tract 292.08; King County; Washington,1657,255,1402,69034,168,78,130,428,1402,2727,88,0,4624,1741,53,033,029208
Census Tract 293.04; King County; Washington,1904,1400,504,116216,79,0,63,84,504,3625,55,0,5110,2148,53,033,029304
Census Tract 293.05; King County; Washington,1497,1273,224,109460,10,41,32,0,224,3409,131,0,4685,1328,53,033,029305
Census Tract 293.06; King County; Washington,1234,978,256,114615,21,0,2,103,256,2378,192,0,3528,1325,53,033,029306
Census Tract 293.07; King County; Washington,1340,1169,171,112857,5,0,73,9,171,2794,49,0,3964,2389,53,033,029307
Census Tract 293.08; King County; Washington,1331,875,456,120495,92,0,180,61,456,2553,95,0,3418,1152,53,033,029308
Census Tract 293.09; King County; Washington,2081,1177,904,100923,121,162,241,138,904,3676,111,0,5451,1731,53,033,029309
Census Tract 294.03; King County; Washington,2313,1583,730,108890,27,0,96,58,730,4370,83,0,5968,1754,53,033,029403
Census Tract 294.05; King County; Washington,1827,1660,167,142650,0,16,0,83,167,4016,85,0,5658,2289,53,033,029405
Census Tract 294.06; King County; Washington,1527,1306,221,126860,18,0,11,77,221,3479,111,11,4772,1997,53,033,029406
Census Tract 294.07; King County; Washington,1663,771,892,68596,64,189,62,265,892,3231,41,0,5228,1420,53,033,029407
Census Tract 294.08; King County; Washington,1640,687,953,64674,48,130,78,203,953,3252,119,10,4594,1093,53,033,029408
Census Tract 295.04; King County; Washington,2417,961,1456,93355,250,50,172,251,1456,4177,71,0,6647,2827,53,033,029504
Census Tract 295.05; King County; Washington,1456,453,1003,63854,102,11,241,312,1003,2780,223,0,4445,1022,53,033,029505
Census Tract 295.06; King County; Washington,1693,223,1470,64953,304,120,166,210,1470,2684,227,0,4429,1246,53,033,029506
Census Tract 295.07; King County; Washington,955,824,131,133281,0,19,0,43,131,2304,163,0,3056,1557,53,033,029507
Census Tract 295.08; King County; Washington,1231,995,236,137906,0,9,0,11,236,2707,183,0,4303,2114,53,033,029508
Census Tract 296.02; King County; Washington,2143,2063,80,147165,19,0,22,10,80,4665,89,25,7258,3749,53,033,029602
Census Tract 296.03; King County; Washington,1253,795,458,123750,41,14,79,32,458,2933,244,0,4162,1798,53,033,029603
Census Tract 296.04; King County; Washington,1013,617,396,84375,0,6,72,4,396,2275,13,0,3593,1681,53,033,029604
Census Tract 297.01; King County; Washington,1923,801,1122,68612,162,58,164,339,1122,3332,119,0,4788,1944,53,033,029701
Census Tract 297.02; King County; Washington,1246,819,427,83735,28,0,29,124,427,2304,43,0,3386,1105,53,033,029702
Census Tract 298.03; King County; Washington,1764,156,1608,88992,171,131,198,103,1608,3334,80,0,4851,1823,53,033,029803
Census Tract 298.04; King County; Washington,1542,1154,388,135064,78,30,0,116,388,3397,166,0,4536,1867,53,033,029804
Census Tract 298.05; King County; Washington,1587,1339,248,119312,0,23,0,6,248,3569,197,0,5029,2254,53,033,029805
Census Tract 298.06; King County; Washington,1941,1283,658,102301,0,123,22,155,658,3770,220,0,5339,2061,53,033,029806
Census Tract 299.01; King County; Washington,1681,1295,386,102014,0,0,20,134,386,3684,83,0,5126,2599,53,033,029901
Census Tract 299.02; King County; Washington,1835,1660,175,147554,53,0,0,9,175,3875,143,0,5614,2678,53,033,029902
Census Tract 300.03; King County; Washington,2532,1644,888,91632,45,99,245,149,888,4768,288,0,7225,3630,53,033,030003
Census Tract 300.05; King County; Washington,1890,1359,531,97535,64,66,0,100,531,4060,105,0,6285,1601,53,033,030005
Census Tract 300.06; King County; Washington,1745,432,1313,54464,133,195,184,322,1313,3386,180,0,4791,1198,53,033,030006
Census Tract 300.07; King County; Washington,1360,110,1250,49228,136,98,195,410,1250,1989,102,0,3997,320,53,033,030007
Census Tract 300.08; King County; Washington,1922,1001,921,72629,53,91,109,366,921,3200,58,0,4651,1036,53,033,030008
Census Tract 301.01; King County; Washington,1395,862,533,103371,0,15,98,170,533,2493,0,0,3777,1369,53,033,030101
Census Tract 301.02; King County; Washington,1530,1364,166,124884,0,46,0,16,166,2924,84,0,3384,2257,53,033,030102
Census Tract 302.01; King County; Washington,2067,1482,585,91205,41,89,95,115,585,4077,133,0,6025,2373,53,033,030201
Census Tract 302.03; King County; Washington,1508,460,1048,62734,32,81,129,408,1048,2795,157,0,4482,1169,53,033,030203
Census Tract 302.04; King County; Washington,1449,972,477,62382,91,130,0,33,477,3080,92,0,4261,1881,53,033,030204
Census Tract 303.04; King County; Washington,1398,780,618,78232,200,43,89,29,618,2667,63,0,4399,1622,53,033,030304
Census Tract 303.05; King County; Washington,2051,1528,523,106864,41,26,17,31,523,3762,46,0,4843,2617,53,033,030305
Census Tract 303.06; King County; Washington,1841,1529,312,121964,38,0,0,23,312,3907,55,0,5425,2741,53,033,030306
Census Tract 303.08; King County; Washington,2148,990,1158,83026,179,188,15,445,1158,3849,167,0,6123,1671,53,033,030308
Census Tract 303.09; King County; Washington,2446,855,1591,81119,282,89,60,385,1591,3965,111,0,5194,2246,53,033,030309
Census Tract 303.10; King County; Washington,2276,1449,827,113750,71,17,46,249,827,4671,149,0,7015,2490,53,033,030310
Census Tract 303.11; King County; Washington,1593,1199,394,106953,64,46,0,32,394,3439,85,9,5023,2136,53,033,030311
Census Tract 303.12; King County; Washington,1994,1060,934,88235,186,56,119,275,934,3843,11,24,5352,2091,53,033,030312
Census Tract 303.13; King County; Washington,1997,855,1142,61115,163,20,309,309,1142,3029,144,0,5055,1398,53,033,030313
Census Tract 303.14; King County; Washington,2383,1204,1179,67917,174,47,194,332,1179,3639,29,0,4552,1518,53,033,030314
Census Tract 304.03; King County; Washington,1785,1437,348,103713,0,21,21,151,348,3535,61,0,5087,3028,53,033,030403
Census Tract 304.04; King County; Washington,1511,1228,283,115250,8,67,0,38,283,3275,67,0,4741,2230,53,033,030404
Census Tract 304.05; King County; Washington,1252,1065,187,104293,84,0,0,20,187,2403,33,0,3863,2874,53,033,030405
Census Tract 304.06; King County; Washington,1068,677,391,100114,27,35,0,134,391,2012,20,0,2799,1315,53,033,030406
Census Tract 304.07; King County; Washington,874,445,429,98523,89,54,0,94,429,1826,43,0,2640,952,53,033,030407
Census Tract 305.01; King County; Washington,1559,127,1432,29570,136,130,172,596,1432,2226,12,0,2651,1612,53,033,030501
Census Tract 305.03; King County; Washington,2520,1264,1256,87188,95,247,117,206,1256,4214,42,0,6691,2518,53,033,030503
Census Tract 305.04; King County; Washington,2026,923,1103,79600,214,52,73,223,1103,3599,259,0,5432,3043,53,033,030504
Census Tract 306; King County; Washington,2069,1322,747,89375,135,11,97,103,747,3787,11,0,5279,3318,53,033,030600
Census Tract 307; King County; Washington,1721,841,880,66655,27,119,64,368,880,2918,8,0,4077,1760,53,033,030700
Census Tract 308.01; King County; Washington,2287,1206,1081,72083,155,59,20,228,1081,4088,259,47,7310,1791,53,033,030801
Census Tract 308.02; King County; Washington,1599,775,824,83114,32,130,67,167,824,3187,195,10,4489,1966,53,033,030802
Census Tract 309.01; King County; Washington,1193,977,216,91641,26,14,4,77,216,2656,138,0,4046,1542,53,033,030901
Census Tract 309.02; King County; Washington,2079,1146,933,91856,167,160,57,166,933,3988,53,0,6090,3065,53,033,030902
Census Tract 310; King County; Washington,1756,1484,272,136027,37,0,9,87,272,3392,75,0,4655,2792,53,033,031000
Census Tract 311.01; King County; Washington,1464,558,906,71937,126,12,71,270,906,2826,45,0,4000,1514,53,033,031101
Census Tract 311.02; King County; Washington,1262,948,314,82206,23,31,32,104,314,2158,41,0,3100,1617,53,033,031102
Census Tract 312.02; King County; Washington,1953,1589,364,105506,0,14,2,20,364,3960,24,0,6116,3736,53,033,031202
Census Tract 312.04; King County; Washington,2231,2095,136,118799,0,0,0,32,136,4610,106,0,6415,4757,53,033,031204
Census Tract 312.06; King County; Washington,1672,896,776,99767,109,23,62,224,776,3280,152,0,5571,2610,53,033,031206
Census Tract 312.07; King County; Washington,1302,762,540,101655,23,0,119,278,540,2595,29,0,4875,2131,53,033,031207
Census Tract 312.08; King County; Washington,1385,1062,323,102875,52,0,0,23,323,2849,135,0,4369,2531,53,033,031208
Census Tract 313.01; King County; Washington,916,837,79,120000,7,0,0,21,79,1717,60,0,2096,1706,53,033,031301
Census Tract 313.02; King County; Washington,1800,1457,343,119632,42,0,21,175,343,3134,91,0,4576,3227,53,033,031302
Census Tract 314; King County; Washington,2431,1673,758,125035,98,88,30,128,758,4588,71,0,6179,4793,53,033,031400
Census Tract 315.01; King County; Washington,1436,1213,223,117652,39,0,0,35,223,2795,21,0,3850,3326,53,033,031501
Census Tract 315.02; King County; Washington,1963,1613,350,110221,0,55,35,64,350,3568,37,0,4900,4145,53,033,031502
Census Tract 316.01; King County; Washington,2041,1810,231,127250,0,26,0,0,231,4141,64,0,5522,4023,53,033,031601
Census Tract 316.03; King County; Washington,2728,2232,496,142432,18,17,39,23,496,4856,0,0,7843,5222,53,033,031603
Census Tract 316.04; King County; Washington,1858,1686,172,141563,32,7,8,39,172,3558,38,0,5859,4121,53,033,031604
Census Tract 316.05; King County; Washington,1429,1254,175,154792,0,0,14,0,175,2676,32,0,3791,2907,53,033,031605
Census Tract 317.04; King County; Washington,1903,1328,575,113829,33,46,115,161,575,4003,258,0,6509,3090,53,033,031704
Census Tract 317.05; King County; Washington,1417,1252,165,133594,5,20,0,59,165,2957,116,0,4214,2819,53,033,031705
Census Tract 317.07; King County; Washington,1096,1045,51,156389,0,0,0,0,51,2187,0,0,2961,1481,53,033,031707
Census Tract 317.08; King County; Washington,1545,1270,275,78750,0,0,12,201,275,2808,76,0,3693,2449,53,033,031708
Census Tract 317.09; King County; Washington,1201,1074,127,139219,0,0,50,35,127,2421,2,0,3576,2142,53,033,031709
Census Tract 317.10; King County; Washington,1606,929,677,113731,68,48,98,257,677,2931,12,0,4317,3004,53,033,031710
Census Tract 318; King County; Washington,1692,1541,151,147813,0,12,8,24,151,3713,45,0,5138,3019,53,033,031800
Census Tract 319.04; King County; Washington,1237,1166,71,163920,0,0,0,8,71,2331,9,0,3567,2906,53,033,031904
Census Tract 319.06; King County; Washington,1312,1158,154,121053,11,0,25,0,154,2810,8,0,3854,2456,53,033,031906
Census Tract 319.08; King County; Washington,1733,965,768,76484,85,30,106,210,768,2907,123,0,4126,2231,53,033,031908
Census Tract 319.09; King County; Washington,1191,820,371,100655,13,42,5,80,371,2004,15,0,3005,1310,53,033,031909
Census Tract 319.10; King County; Washington,1594,1427,167,118913,0,28,0,12,167,2943,35,0,3981,2303,53,033,031910
Census Tract 319.11; King County; Washington,1236,1180,56,161149,0,0,0,16,56,2740,9,0,3458,2116,53,033,031911
Census Tract 319.12; King County; Washington,1345,1164,181,100903,7,0,0,120,181,2622,70,0,3796,2615,53,033,031912
Census Tract 319.13; King County; Washington,1246,1128,118,184792,0,0,9,44,118,2569,53,0,4162,2657,53,033,031913
Census Tract 320.02; King County; Washington,1102,929,173,136573,30,9,45,35,173,2390,29,0,3099,2500,53,033,032002
Census Tract 320.03; King County; Washington,2054,1921,133,151528,0,0,0,0,133,3918,6,0,5488,4440,53,033,032003
Census Tract 320.05; King County; Washington,2634,2293,341,123721,0,0,0,61,341,4867,42,0,7543,4219,53,033,032005
Census Tract 320.06; King County; Washington,1927,1631,296,123608,53,0,27,57,296,3886,0,0,5342,4052,53,033,032006
Census Tract 320.07; King County; Washington,1311,1015,296,139493,0,7,32,144,296,2807,6,0,4286,3372,53,033,032007
Census Tract 320.08; King County; Washington,1552,1459,93,149643,8,0,10,21,93,3038,27,0,4696,3563,53,033,032008
Census Tract 320.10; King County; Washington,2331,1868,463,131042,23,36,19,251,463,4369,29,0,6585,4528,53,033,032010
Census Tract 320.11; King County; Washington,1598,1327,271,169615,12,0,11,86,271,3062,45,0,4939,3343,53,033,032011
Census Tract 321.02; King County; Washington,1924,1828,96,173250,32,0,11,22,96,3951,0,0,5168,4350,53,033,032102
Census Tract 321.03; King County; Washington,2657,1257,1400,119906,144,54,200,279,1400,4380,0,0,5588,3423,53,033,032103
Census Tract 321.04; King County; Washington,2476,1626,850,135862,107,0,34,127,850,4801,0,0,6504,4702,53,033,032104
Census Tract 322.07; King County; Washington,1242,1145,97,214348,2,17,11,26,97,2502,0,0,3703,2366,53,033,032207
Census Tract 322.11; King County; Washington,1682,1308,374,187500,15,0,10,67,374,3288,12,0,5014,1984,53,033,032211
Census Tract 322.13; King County; Washington,1581,1523,58,250001,0,0,0,2,58,3201,30,0,4739,3095,53,033,032213
Census Tract 322.15; King County; Washington,1779,1644,135,250001,0,9,9,47,135,3788,10,0,5817,2862,53,033,032215
Census Tract 322.16; King County; Washington,1677,1378,299,250001,23,27,44,78,299,3213,106,0,5195,2183,53,033,032216
Census Tract 322.17; King County; Washington,1416,1190,226,250001,0,0,0,0,226,2818,8,0,4165,2556,53,033,032217
Census Tract 322.18; King County; Washington,2372,2145,227,172450,16,15,0,66,227,4722,181,0,6068,2894,53,033,032218
Census Tract 322.19; King County; Washington,1811,846,965,181451,13,27,14,186,965,3353,14,0,4284,2599,53,033,032219
Census Tract 322.20; King County; Washington,3760,1718,2042,157464,127,24,117,382,2042,6635,211,0,9261,4072,53,033,032220
Census Tract 322.21; King County; Washington,2183,1864,319,235625,12,71,47,51,319,4065,0,0,6028,2853,53,033,032221
Census Tract 322.22; King County; Washington,1750,886,864,126250,122,40,56,357,864,2639,0,0,3997,2028,53,033,032222
Census Tract 322.23; King County; Washington,1399,1240,159,208221,19,0,0,17,159,3002,0,0,4393,2654,53,033,032223
Census Tract 322.24; King County; Washington,837,635,202,232995,12,0,6,8,202,1673,0,0,2899,1193,53,033,032224
Census Tract 322.25; King County; Washington,1266,997,269,188333,71,24,0,85,269,2235,33,0,3635,1557,53,033,032225
Census Tract 323.07; King County; Washington,2342,2099,243,173832,0,0,0,173,243,4590,85,0,6568,5739,53,033,032307
Census Tract 323.11; King County; Washington,1979,1783,196,200391,31,0,23,25,196,4349,12,0,6064,4707,53,033,032311
Census Tract 323.13; King County; Washington,2939,794,2145,145281,98,62,77,389,2145,5176,0,0,7682,2311,53,033,032313
Census Tract 323.15; King County; Washington,2052,1923,129,191531,9,0,0,54,129,4089,0,0,5794,4469,53,033,032315
Census Tract 323.16; King County; Washington,1869,1680,189,241343,10,6,11,5,189,3684,0,0,5650,2681,53,033,032316
Census Tract 323.17; King County; Washington,2266,1932,334,214452,0,0,32,38,334,4492,47,0,6863,4211,53,033,032317
Census Tract 323.18; King County; Washington,2202,1898,304,250001,15,28,30,30,304,4332,31,0,6919,3392,53,033,032318
Census Tract 323.19; King County; Washington,3169,1221,1948,113882,224,163,390,387,1948,5272,0,0,7085,4914,53,033,032319
Census Tract 323.20; King County; Washington,1595,1500,95,247610,0,0,0,0,95,3523,0,0,4791,3516,53,033,032320
Census Tract 323.21; King County; Washington,2323,2195,128,250001,0,0,0,27,128,4608,0,0,7197,3608,53,033,032321
Census Tract 323.22; King County; Washington,1038,998,40,228750,0,0,0,4,40,2159,0,0,2969,1819,53,033,032322
Census Tract 323.23; King County; Washington,2596,1783,813,207198,64,104,58,175,813,4681,4,0,6915,3176,53,033,032323
Census Tract 323.24; King County; Washington,2540,1375,1165,167875,73,0,67,217,1165,4520,0,0,6708,3534,53,033,032324
Census Tract 323.25; King County; Washington,2664,1318,1346,131987,89,136,32,335,1346,4530,0,0,6379,3775,53,033,032325
Census Tract 323.26; King County; Washington,1286,1150,136,224929,11,0,28,62,136,2660,35,0,4100,2878,53,033,032326
Census Tract 323.27; King County; Washington,2086,2020,66,151750,0,0,10,16,66,3584,26,0,4125,3233,53,033,032327
Census Tract 323.28; King County; Washington,1081,1062,19,226781,0,0,0,14,19,2182,0,0,3147,2120,53,033,032328
Census Tract 323.30; King County; Washington,2913,783,2130,144531,105,217,149,316,2130,4485,0,0,5610,2307,53,033,032330
Census Tract 323.31; King County; Washington,3670,41,3629,142437,205,29,411,312,3629,4870,0,0,6193,2614,53,033,032331
Census Tract 323.32; King County; Washington,2043,1423,620,225905,69,0,27,141,620,4000,0,0,6238,2553,53,033,032332
Census Tract 323.33; King County; Washington,1239,905,334,179613,10,25,57,190,334,2215,0,0,3445,1261,53,033,032333
Census Tract 324.01; King County; Washington,2173,1972,201,155288,21,0,27,45,201,3875,18,0,5931,4334,53,033,032401
Census Tract 324.02; King County; Washington,2395,2159,236,154116,0,0,10,65,236,4913,102,0,7437,5274,53,033,032402
Census Tract 325; King County; Washington,2036,1835,201,171369,7,18,0,24,201,4186,48,0,5725,4696,53,033,032500
Census Tract 326.01; King County; Washington,938,770,168,153194,13,0,0,49,168,1811,0,0,2454,2154,53,033,032601
Census Tract 326.03; King County; Washington,1408,1319,89,224286,0,26,0,16,89,2762,0,0,4233,3268,53,033,032603
Census Tract 326.04; King County; Washington,2052,1816,236,193634,9,26,13,0,236,4139,41,0,6176,3856,53,033,032604
Census Tract 326.05; King County; Washington,1167,978,189,204153,23,0,27,0,189,2402,0,0,4051,3310,53,033,032605
Census Tract 327.03; King County; Washington,743,466,277,126250,68,62,12,0,277,1267,15,12,1878,1595,53,033,032703
Census Tract 327.04; King County; Washington,2978,2420,558,164310,46,0,34,237,558,5604,57,0,7962,5613,53,033,032704
Census Tract 327.05; King County; Washington,1315,1083,232,152554,42,0,38,23,232,2615,0,0,3593,3012,53,033,032705
Census Tract 327.06; King County; Washington,977,911,66,154534,0,0,18,0,66,2036,3,0,2944,2210,53,033,032706
Census Tract 328; King County; Washington,1075,958,117,112250,56,0,0,27,117,1951,0,0,2534,2384,53,033,032800
Census Tract 9901; King County; Washington,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,53,033,990100
